Season,Total_xG,FTHG,FTAG,xG_Difference,Total_Goals,xG_vs_Goals_Diff
2015-2016,2.588,1.488,1.218,0.982,2.706,-0.11799999999999988
2016-2017,2.601,1.589,1.221,1.062,2.81,-0.20900000000000007
2017-2018,2.61,1.532,1.147,1.126,2.6790000000000003,-0.0690000000000004
2018-2019,2.856,1.568,1.253,1.113,2.8209999999999997,0.03500000000000014
2019-2020,2.851,1.516,1.205,1.137,2.721,0.1299999999999999
2020-2021,2.735,1.353,1.342,1.102,2.6950000000000003,0.03999999999999959
2021-2022,2.839,1.513,1.305,1.189,2.8179999999999996,0.02100000000000035
2022-2023,2.965,1.634,1.218,1.122,2.852,0.11299999999999999
2023-2024,3.381,1.8,1.479,1.249,3.279,0.10199999999999987
2024-2025,3.202,1.513,1.421,1.159,2.934,0.2679999999999998
